base_number,japanese_text,russian_translation,english_original,converb_te_copula,converb_te_no_comma,converb_i_adjective,converb_te_comma,converb_te_period,converb_i,converb_nagara,converb_tari,converbs_amount,types_of_converbs,direct_speech,connection_type_ja,connection_type_en,conjunction_original,lexis,subject,comments
3-20-48(1),ハリーは床の柔らかそうな所を探して、一番薄い、一番ボロの毛布にくるまって体を丸くした。,"‘Гарри нашёл мягкое место на полу [te], завернулся в самое узкое и дряхлое одеяло [te] и свернулся калачиком.’","Harry was left to find the softest bit of floor he could and to curl up under the thinnest, most ragged blanket.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,-,-,"[2 (te), (0)]",
3-20-48(2),ハリーは床の柔らかそうな所を探して、一番薄い、一番ボロの毛布にくるまって体を丸くした。,"‘Гарри нашёл мягкое место на полу [te], завернулся в самое узкое и дряхлое одеяло [te] и свернулся калачиком.’","Harry was left to find the softest bit of floor he could and to curl up under the thinnest, most ragged blanket.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
3-20-50,ソファからはみ出してブラブラしているダドリーの太った手首に、蛍光文字盤つきの腕時計があった,"На свисающем [te] толстом запястье Дадли, примостившегося на диване, красовались часы с флуоресцентным циферблатом.","The lighted dial of Dudley’s watch, which was dangling over the edge of the sofa on his fat wrist, told Harry he’d be eleven in ten minutes’ time.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,-,"[(0 te), (3)]",
3-21-5,岩が崩れて海に落ちる音か,"Это звук рушащихся [te], падающих в море камней?",Was the rock crumbling into the sea,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[2 (te), (0)]",
3-21-9,ハリーはビクッと跳び起きてドアを見つめた,"Гарри, резко вскочив [te], уставился на дверь.","Harry sat bolt upright, staring atthe door",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,-,"[2 (te), (0)]",
4-21-14,蝶番も吹っ飛ぶほどの力でドアが開けられ、扉が轟音を上げて床に落ちた。,"Дверь открыли с такой силой, что она слетела с петель [i] и, издав грохот [te], упала на пол.",The door was hit with such force that it swung clean off its hinges and with a deafening crash landed flat on the floor.,нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,образ действия,образ действия,prep,-,"[2 (te), (0)]",
4-21-15, ダドリーが跳び起きて、寝ぼけた声を上げた。「何？大砲？どこ？」,"Дадли вскочил [te], сказал полусонно: “Что? Пушка? Где?",Dudley jerked awake. ‘Where’s the cannon?’ he said stupidly.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,-,-,-,"[3 (te), (0)]",
4-21-24,大男は振り返ってグルリとみんなを見渡した。,Великан повернулся [te] и окинул всех взглядом.,He turned to look at them all.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,to,,"[2 (te), (0)]",
4-21-25,ボウボウと長い髪、モジャモジャの荒々しいひげに隠れて、顔はほとんど見えない。,"‘[Его лицо] скрывалось за яростно длинными волосами и жёсткой бородой [te], лицо почти не было видно. Но были видны глаза, поблескивающие из-за волос как чёрные жуки.’","His face was almost completely hidden by a long, shaggy mane of hair and a wild, tangled beard, but you could make out his eyes, glinting like black beetles under all the hair.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,причинность,-,by,-,"[2 (te), (0)]","Односубъектное. Подлежащее эксплицировано только во второй клаузе: Лицо не было видно, будучи скрытым за волосами и бородой."
4-21-29,ダドリーは金切り声を上げて追げ出し、母親の陰に隠れた。,"Дадли закричал [te], побежал прочь [i] и спрятался за матерью.","Dudley squeaked and ran to hide behind his mother, who was crouching, terrified, behind Uncle Vernon.",нет,да,нет,нет,нет,да,нет,нет,2,"ТЭ, И",нет,последовательность действий,последовательность действий,and,,"[2 (te), (0)]",
4-21-33,ハリーは恐ろしげな、荒々しい黒い影のような男の顔を見上げ、黄金虫のような目がクシャクシャになって笑いかけているのを見つけた,"Гарри взглянул [i] в лицо ужасающего, дикого, мрачного чёрного человека и увидел, как его золотистые глаза сощурились [te] и улыбнулись.","Harry looked up into the fierce, wild, shadowy face and saw that the beetle eyes were crinkled in a smile.",нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,образ действия,образ действия,prep,,"[2 (te), (0)]",
4-21-43,大男はダーズリーに背を向けてハリーに話しかけた。,Здоровяк повернулся [te] спиной к Дурслям и обратился к Гарри.,"said the giant, turning his back on the Dursleys",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,,"[3 (te), (0)]",
4-21-46(1),「黙れ、ダーズリー。腐った大マヌケめ」と言うやいなや、大男はソファの背ごしに手を伸ばして、おじさんの手から銃をひったくりまるでゴム細工の銃をひねるかのようにやすやすと丸めて一結びにし、部屋の隅に放り投げてしまった。,"“Заткнись, Дурсль. Большой прогнивший идиот,” – как только [он] это сказал, великан протянул руку к спинке дивана [te], выхватил ружьё из руки дяди, легко завернул его, будто он полностью сделан из резины [te], сделав узел [i],  швырнул в угол комнаты.’","He reached over the back of the sofa, jerked the gun out of Uncle Vernon’s hands, bent it into a knot as easily as if it had been made of rubber, and threw it into a corner of the room.",нет,нет,нет,да,нет,да,нет,нет,2,"ТЭ, И",нет,последовательность действий,последовательность действий,запятая,-,"[2 (te), (0)]",это же тоже наше?! Светнув (тэ) сделал узел. А тут еще и другой нарративный конверб на i (2-я основа от СУРУ)
4-21-46(2),「黙れ、ダーズリー。腐った大マヌケめ」と言うやいなや、大男はソファの背ごしに手を伸ばして、おじさんの手から銃をひったくりまるでゴム細工の銃をひねるかのようにやすやすと丸めて一結びにし、部屋の隅に放り投げてしまった。,"“Заткнись, Дурсль. Большой прогнивший идиот,” – как только [он] это сказал, великан протянул руку к спинке дивана [te], выхватил ружьё из руки дяди, легко завернул его, будто он полностью сделан из резины [te], сделав узел [i],  швырнул в угол комнаты.’","He reached over the back of the sofa, jerked the gun out of Uncle Vernon’s hands, bent it into a knot as easily as if it had been made of rubber, and threw it into a corner of the room.",нет,да,нет,нет,нет,да,нет,нет,2,"ТЭ, И",нет,последовательность действий,последовательность действий,запятая,-,"[2 (te), (0)]",
4-22-1,ハリーは大男を見上げた。ありがとうと言うつもりだったのに、言葉が途中で迷子になって、かわりに「あなたは誰？」と言ってしまった,"‘Гарри посмотрел на великана. Хоть он и собирался сказать “спасибо”, слова по пути потерялись [te], вместо этого он сказал “Кто ты”.’","Harry looked up at the giant. He meant to say thank you, but the words got lost on the way to his mouth, and what he said instead was, ‘Who are you?’",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,фон-фигура,", and",-,"[(2 te), (3)]","Снова безличное подлежащее фона: слова потерялись, вместо задуманного Гарри сказал..."
4-22-6,男は巨大な手を差し出し、ハリーの腕をブンブン振って握手した。,"Мужчина достал [i] свою огромную руку и, протянув [te] её к Гарри, пожал ему руку.",He held out an enormous hand and shook Harry’s whole arm.,нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,образ действия,образ действия,-,,"[3 (te), (0)]",
4-22-11,大男は、チリチリに縮んだポテトチップの空き袋が転がっているだけの、火の気のない暖炉に目をやると、フンと鼻を鳴らしながら、暖炉に覆いかぶさるようにして何やら始めた,"Великан посмотрел на потухший камин, где лежал только скомканный пустой пакет из-под картофельных чипсов, затем, фыркая [nagara], наклонился [te] над камином и начал что-то делать.","He bent down over the fireplace; they couldn’t see what he was doing but when he drew back a second later, there was a roaring fire there",нет,да,нет,нет,нет,нет,да,нет,2,"НАГАРА, ТЭ",нет,последовательность действий,последовательность действий,-,,"[3 (te), (0)]",
4-22-19,太くて軟らかそうな、少し焦げめのついたソーセージが六本、焼串からはずされた時、ダドリーがそわそわしはじめたので、おじさんは一喝した,"Когда шесть толстых [te], мягких на вид, слегка подрумяненных сосисок были сняты с шампуров, Дадли начал ёрзать, и дядя отругал его.","Nobody said a thing while the giant was working, but as he slid the first six fat, juicy, slightly burnt sausages from the poker, Dudley fidgeted a little.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,перечисление характеристик,перечисление характеристик,запятая,,"[(0 te), (3)]",
4-22-28,大男はお茶をガブリと飲んで、手の甲で口をぬぐった,"Великан сделал глоток чая [te], вытер ладонью рот.",The giant took a gulp of tea and wiped his mouth with the back of his hand.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
4-22-35,ダーズリー親子はすくみあがって壁に張りついていた,"Дурсли, ужаснувшись [te], прижались к стене.",The Dursleys were cowering against the wall,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,,"[3 (te), (0)]",
4-22-46,ハグリッドは、ダーズリーたちに詰め寄って、かみつくように言った。,"Хагрид подошёл к Дурслям [te], сказал, будто бы огрызаясь:", He had leapt to his feet. In his anger he seemed to fill the whole hut. The Dursleys were cowering against the wall. ,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,-,-,-,"[2 (te), (0)]",
4-23-11,バーノンおじさんが急に声を取り戻して、命令口調で言った。,"Дядя Вернон быстро вернул себе голос [te], сказал командным тоном",Uncle Vernon suddenly found his voice. ‘Stop!’ he commanded.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,-,-,-,"[3 (te), (0)]",
4-23-26,ソファがギシギシとうめき声をあげて、前より深く沈み込んだ。,"Диван издал стон и скрип [te], просел глубже, чем раньше.’","said Hagrid, sitting back down on the sofa, which groaned and sank even lower",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[3 (te), (0)]",
4-24-14,ハグリッドは手紙をクルクルッと丸めてふくろうの嘴にくわえさせ、戸を開けて嵐の中に放った,"Хагрид свернул письмо, положил [i] его в клюв совы, открыл дверь [te] и выпустил ее навстречу буре.","Hagrid rolled up the note, gave it to the owl, which clamped it in its beak, went to the door and threw the owl out into the storm",нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,последовательность действий,последовательность действий,", and",,"[3 (te), (0)]",
4-24-16,ハリーはポカンと口を開けていることに気づいてあわてて閉じた。,"Гарри понял [te], что его рот открыт, и быстро закрыл его.",Harry realised his mouth was open and closed it quickly.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,,"[3 (te), (0)]",
4-24-23,「マグ――何ていったの？」気になってハリーは聞いた,«Что ты сказал?» — с любопытством [te] спросил Гарри.,"A what?’ said Harry, interested",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ed,,"[(0 te), (3)]",
4-24-34,妹にもちょうどこれと同じような手紙が来て、さっさと行っちまった,"Сестре тоже пришло в точности такое же письмо [te], [она] быстро уехала","Oh, she got a letter just like that and disappeared off to that – that school",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,фон-фигура,последовательность действий,and,-,"[(3 te), (2)]",
4-24-40,同じように変てこりんで、同じように……まともじゃないってね,"Такой же странный [te], такой же… неправильный","you’d be just the same, just as strange, just as – as – abnormal –",да,нет,нет,нет,нет,нет,нет,нет,1,ТЭ,да,перечисление характеристик,перечисление характеристик,повтор,повтор,"[2 (te), (0)]",
4-24-43(1),そのうち学校であのポッタ一に出会って、二人ともどっかへ行って結婚した。,"В конце концов в школе [она] встретила того Поттера [te], вдвоём [они] куда-то уехали и поженились.","Then she met that Potter at school and they left and got married and had you, and of course.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,фон-фигура,фон-фигура,and,-,"[(2 te), (3)]",
4-24-43(2),そのうち学校であのポッタ一に出会って、二人ともどっかへ行って結婚した。,"В конце концов в школе [она] встретила того Поттера [te], вдвоём [они] куда-то уехали и поженились.","Then she met that Potter at school and they left and got married and had you, and of course.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,да,последовательность действий,последовательность действий,and,-,"[(2 te), (3)]",
4-25-41,ハグリッドは突然水玉模様の汚いハンカチを取り出し、ボアーッと霧笛のような音を響かせて鼻をかんだ。,"Хагрид внезапно достал [i] грязный носовой платок в горошек и, издав [te] похожий на сирену звук, высморкался.","Hagrid suddenly pulled out a very dirty, spotted handkerchief and blew his nose with a sound like a foghorn.",нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
4-26-20,ひげモジャの大男に傘で串刺しにされる危険を感じ、バーノンおじさんの勇気はまたもやくじけ、壁に張りついて黙ってしまった,"Рискуя быть пронзенным бородатым великаном с зонтиком, дядя Вернон снова дрогнул [i], и он прижался [te] к стене и замолчал.","In danger of being speared on the end of an umbrella by a bearded giant, Uncle Vernon’s courage failed again; he flattened himself against the wall and fell silent.",нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,последовательность действий,последовательность действий,and,-,"[3 (te), (0)]",
4-26-29,まだどこかにいて、時の来るのを待っているという者もいるな。俺はそうは思わん,"Пока [он] где-то там [te], ждёт подходящего момента – люди, которые говорят так, тоже есть.","Some say he’s still out there, bidin’ his time, like, but I don’ believe it.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,образ действия,образ действия,", ing",-,"[2 (te), (0)]",зависимые клаузы
4-26-31,ちんちくりんな髪に刈り上げられて学校に行くのがとてもいやだった時、髪は、あっという間に元通りに伸びたし……,"Когда из-за ужасно подстриженных [te] волос ему был настолько неприятно ходить в школу, что меня подстригли волосы пенисом, его волосы быстро восстановили свое первоначальное состояние...","... dreading going to school with that ridiculous hair-cut, he’d managed to make it grow back ...",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,причинность,причинность,-,-,"[(2 te), (2)]",
4-27-1,ハリーはハグリッドに向かってほほえんだ,"Гарри, повернувшись [te] к Хагриду, улыбнулся.","Harry looked back at Hagrid, smiling, and saw that Hagrid waspositively beaming at him.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,-,"[3 (te), (0)]",
4-27-12,これまでと違って、同じ仲間の子供たちと共に過ごすんだ。,"Отличаясь [te] от того, что было до, [он] будет проводить время с такими же друзьями-детьми. ","He’ll be with youngsters of his own sort, fer a change, an’ he’ll be under the greatest Headmaster Hogwarts ever had, Albus Dumbled–‘",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,фон-фигура,-,-,-,"[(3 te), (2)]",
4-27-15,ハグリッドは傘をつかんで、頭の上でグルグル回した,"В конце концов эти слова были уже чересчур. Хагрид схватил [свой] зонт [te], по кругу завертел им над головой.",Hagrid seized his umbrella and whirled it over his head.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
4-27-21,一瞬、紫色の光が走り、爆竹のような音がしたかと思うと、鋭い悲鳴がして、次の瞬間、ダドリーは太ったお尻を両手で押さえ、痛みで喚きながら床の上を飛び跳ねていた。,"Резко вспыхнул фиолетовый цвет [i], раздался звук, похожий на петарду, [затем] раздался пронзительный крик [te], а в следующий момент Дадли, обхватив обеими руками свой толстый зад [i], крича от боли [nagara] подпрыгивал на полу.’"," there was a flash of violet light, a sound like a firecracker, a sharp squeal and next second, Dudley was dancing on the spot with his hands clasped over his fat bottom, howling in pain.",нет,нет,нет,да,нет,2,да,нет,4,"И, ТЭ, И, НАГАРА",нет,фон-фигура,"А, Б, и С with D ing E",and,-,"[(3 te), (2)]",
4-27-32,ハグリッドは分厚いコートを脱いで、ハリーに放ってよこした,Хагрид снял [te] своё тяжелое пальто и протянул его Гарри.,He took off his thick black coat and threw it to Harry,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
4-27-33,おまえさんを追いかけて、手紙を渡したりいろいろするのに、少しは使ってもいいとお許しが出た,"[Мне] выдали разрешение использовать немного магии, преследуя тебя [te], передавая письма и всякие разные дела, но",I was allowed ter do a bit ter follow yeh an’ get yer letters to yeh an’ stuff,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",зависимые клаузы
4-27-37,ふむ、まあ――俺もホグワーツ出身で、ただ、俺は……その……実は退学処分になったんだ,"Ох, ну, я тоже из Хогвартса [te], но я… это… по правде говоря, был исключён.","Oh, well – I was at Hogwarts meself but I – er – got expelled, ter tell yeh the truth",да,нет,нет,нет,нет,нет,нет,нет,1,ТЭ,да,перечисление характеристик,перечисление характеристик,-,-,"[(te), (2)]",
4-27-38,町へ行って、教科書やら何やら買わんとな,"‘Надо поехать в город [te], купить учебники, что-то ещё.’","Gotta get up ter town, get all yer books an’ that.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,последовательность действий,последовательность действий,запятая,-,"[2 (te), (0)]",зависимое 
4-27-43,ハグリッドは分厚いコートを脱いで、ハリーに放ってよこした,"‘Хагрид снял тяжёлую куртку [te], протянул её Гарри.’",He took off his thick black coat and threw it to Harry,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
5-28-1,ハグリッドつていう大男がやってきて、僕が魔法使いの学校に入るって言ったけど、あれは夢だったんだ,"Пришёл великан по имени Хагрид [te], сказал, что я поступлю в школу волшебников, но это был сон.",I dreamed a giant called Hagrid came to tell me I was going to a school for wizards.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,последовательность действий,последовательность действий,to,-,"[3 (te), (0)]",
5-28-11,嬉しくて、胸の中で風船が大きく膨らんだ。," [Он был] рад [te], внутри груди набух большой воздушный шар.","Harry scrambled to his feet, so happy he felt as though a large balloon was swelling inside him.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,фон-фигура,as,-,"[(3 te), (2)]",
5-28-12,まっすぐ窓辺まで行って、窓を開け放った,"[Гарри] подошёл прямо к подоконнику [te], распахнул окно.",He went straight to the window and jerked it open.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
5-28-13,ふくろうが窓からスイーッと入ってきて、新聞をハグリッドの上にポトリと落とした。,"Сова со свистом влетела [в комнату][te], со шлепком уронила на Хагрида газету. ","The owl swooped in and dropped the newspaper on top of Hagrid, who didn’t wake up.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[3 (te), (0)]",
5-28-14,ハリーがふくろうを追い払おうとすると、ふくろうは鋭い嘴をハリーに向かってカチカチ言わせ、獰猛にコートを襲い続けた。,"Когда Гарри попытался избавиться от совы, она, повернувшись [te] к Гарри и издавая звуки клювом [i], продолжала яростно атаковать его пальто.","Harry tried to wave the owl out of the way, but it snapped its beak fiercely at him and carried on savaging the coat.",нет,да,нет,нет,нет,да,нет,нет,2,"ТЭ, И",нет,образ действия,образ действия,prep,-,"[2 (te), (0)]",
5-28-30,ハグリッドは大声であくびをして起き上がり、もう一度伸びをした。,"Хагрид громко зевнул [te] и встал [i], снова потягиваясь.","Hagrid yawned loudly, sat up and stretched.",нет,да,нет,нет,нет,да,нет,нет,2,"ТЭ, И",нет,последовательность действий,последовательность действий,запятая,-,"[2 (te), (0)]",
5-28-36,ロンドンまで行って、おまえさんの入学用品を揃えんとな,"Доедем до Лондона [te], нужно будет собрать вещи для твоего поступления.","Best be off, Harry, lots ter do today, gotta get up ter London an’ buy all yer stuff fer school.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
5-28-41,ハグリッドは立ち上がって頭をボソボソ掻きながら言った。,"Хагрид встал [te] и, почёсывая [nagara] голову, сказал.","said Hagrid, standing up and scratching his head.",нет,да,нет,нет,нет,нет,да,нет,2,"ТЭ, НАГАРА",нет,последовательность действий,последовательность действий,ing,-,"[2 (te), (0)]",
5-29-4,ダンブルドアに頼まれて、ホグワーツの仕事だ。,"Меня попросил Дамблдор [te], работа для Хогвартса.",Fer Dumbledore. Hogwarts business.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,последовательность действий,последовательность действий,-,-,"[2 (te), (0)]",не уверена
5-29-14,ハリーは魔法が見たくてウズウズしていた。,"Гарри, желая [te] увидеть волшебство, сгорал от нетерпения.","Harry, eager to see more magic.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,причинность,причинность,to,-,"[2 (te), (0)]",
5-29-21,な？地下鉄たら言うのより深いと聞いとる。何とか欲しいものを手に入れたにしても、迷って出てこられなけりゃ、餓死するわな」,"Верно? Я слышал, что он глубже, чем метро. Даже если вам удастся получить желаемое, если вы заблудитесь [te] и не сможете выбраться, вы умрете от голода.","See. Deep under the Underground. Yeh’d die of hunger tryin’ ter get out, even if yeh did manage ter get yer hands on summat.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,да,образ действия,образ действия,ing,-,"[2 (te), (0)]",
5-29-22,ハグリッドが「日刊予言者新聞」を読む間、ハリーは黙って今聞いたことを考えていた。,"Пока Хагрид читал «Ежедневный пророк», Гарри сидел молча [te], размышляя о том, что только что услышал.","Harry sat and thought about this while Hagrid read his newspaper, the Daily Prophet.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,-,-,"[3 (te), (0)]",
5-29-23,生まれてこのかた、こんなにたくさん質問したかったことはない。,"После того как он родился [te], ему никогда в жизни не хотелось задать столько вопросов.",he’d never had so many questions in his life.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,-,-,-,"[2 (te), (0)]",
5-29-24,ハグリッドはまたしてもピンクの傘を取り出して、船べりを傘で二度叩いた。,"Хагрид снова вытащил розовый зонтик [te], дважды постучал зонтиком по борту лодки","Hagrid pulled out the pink umbrella again, tapped it twice on the side of the boat and they sped off towards land.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,запятая,-,"[2 (te), (0)]",
5-29-31,毎朝ふくろう便を何羽も出してダンブルドアにしつこくお伺いをたてとるよ,"Каждое утро он отправляет [te] несколько сов, прося Дамблдора дать мне совет.","So he pelts Dumbledore with owls every morning, askin’ fer advice.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,-,-,"[2 (te), (0)]",
5-29-40,ハグリッドは新聞をたたみ、二人は石段を登って道に出た。,"Хагрид сложил [i] газету, и они вдвоём, поднявшись [te] по каменным ступеням, вышли на дорогу.",Hagrid folded up his newspaper and they clambered up the stone steps on to the street.,нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,образ действия,образ действия,-,-,"[2 (te), (0)]",
5-29-42,小さな町を駅に向かって歩く途中、道行く人がハグリッドをジロジロ見た。,"Пока они шли, направляясь [te] в сторону станции через маленький городок, прохожие глазели на Хагрида.",Passers-by stared a lot at Hagrid as they walked through the little town to the station.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[(2 te), (3)]",
5-30-8,二人分の席を占領して、カナリア色のサーカスのテントのようなものを編みはじめたのだ。,"[Хагрид] занял два сиденья [te], начал вязать вещь канареечного цвета, похожую на цирковой шатёр.",Hagrid took up two seats and sat knitting what looked like a canary-yellow circus tent.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
5-30-14,ハリーは、昨夜気づかなかった二枚目の紙を広げて読み上げた。,"Гарри развернул [te] вторую газету, которую не заметил вчера вечером, и прочитал её вслух.",Harry unfolded a second piece of paper he hadn’t noticed the night before and read,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
5-31-7,故障して動かないエスカレーターを上りながらもハグリッドは文句を言う。,"Сломанный [te], неработающий эскалатор – поднимаясь [nagara] по нему, Хагрид жалуется.","he said, as they climbed a broken-down escalator which led up to a bustling road lined with shops.",нет,да,нет,нет,нет,нет,да,нет,2,"ТЭ, НАГАРА",нет,перечисление характеристик,перечисление характеристик,-,-,"[(te), (2)]",
5-31-24,隅の方におばあさんが二、三人腰掛けて小さなグラスでシェリー酒を飲んでいた。,Две или три старушки сидели [te] в углу и пили херес из маленьких рюмок.,"A few old women were sitting in a corner, drinking tiny glasses of sherry.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,-,"[3 (te), (0)]",
5-31-38(1),バーテンは急いでカウンターから出てきてハリーにかけ寄ると、涙を浮かべてハリーの手を握った。,"Бармен выскочил [te] из-за стойки, подбежал к Гарри, плача [te], и пожал ему руку.","He hurried out from behind the bar, rushed towards Harry and seized his hand, tears in his eyes.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,запятая,-,"[2 (te), (0)]",
5-31-38(2),バーテンは急いでカウンターから出てきてハリーにかけ寄ると、涙を浮かべてハリーの手を握った。,"Бармен выскочил [te] из-за стойки, подбежал к Гарри, плача [te], и пожал ему руку.","He hurried out from behind the bar, rushed towards Harry and seized his hand, tears in his eyes.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,-,-,"[2 (te), (0)]",
5-31-44,やがてあちらこちらで椅子を動かす音がして、パブにいた全員がハリーに握手を求めてきた,"‘Затем там и сям раздался звук двигающихся стульев [te], все посетители паба пришли пожать руку Гарри.’","Then there was a great scraping of chairs and, next moment, Harry found himself shaking hands with everyone in the Leaky Cauldron.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,фон-фигура,and,-,"[(3 te), (3)]",
5-32-17,それから十分ほどかかって、ハリーはやっとみんなから離れることができた。,"Прошло около десяти минут [te], Гарри наконец смог оторваться от всех.",It took almost ten minutes to get away from them all.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,фон-фигура,to,-,"[(2 te), (3)]",
5-32-23,ハグリッドはハリーに向かって、うれしそうに笑いかけながら言った。,"Хагрид повернулся к Гарри [te], сказал, радостно ухмыляясь",Hagrid grinned at Harry.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,-,-,-,"[2 (te), (0)]",
5-32-39,そのむこうには石畳の通りが曲がりくねって先が見えなくなるまで続いていた。,Дальше мощеная улица петляет [te] и исчезает из виду.,a cobbled street which twisted and turned out of sight.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[3 (te), (0)]",
5-32-41,ハリーが急いで振り返った時には、アーチは見るみる縮んで、固いレンガ壁に戻るところだった,"Когда Гарри быстро обернулся, арка сжалась [te], превратилась обратно в твёрдую кирпичную стену.",Harry looked quickly over his shoulder and saw the archway shrink instantly back into solid wall.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,-,into  ,-,"[2 (te), (0)]",
5-32-42,ハリーが驚いているのを見て、ハグリッドがニコーッと笑った,"[Хагрид] смотрел на удивление Гарри [te], приятно смеялся.",He grinned at Harry’s amazement.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,-,-,-,"[3 (te), (0)]",
